,pos_x,pos_y,r,t
4226,45.0,15.0,1,8452
4227,45.0,15.0,1,8454
4228,45.0,15.0,1,8456
4229,45.0,15.0,1,8458
4230,45.0,15.0,1,8460
4231,45.0,15.0,1,8462
4232,45.0,15.0,1,8464
4233,45.0,15.0,1,8466
4234,45.0,15.0,1,8468
4235,45.0,15.0,1,8470
4236,45.0,15.0,1,8472
4237,45.0,15.0,1,8474
4238,45.0,15.0,1,8476
4239,45.0,15.0,1,8478
4240,45.0,15.0,1,8480
4241,45.0,15.0,1,8482
4242,45.0,15.0,1,8484
4243,45.0,15.0,1,8486
4244,45.0,15.0,1,8488
4245,45.0,15.0,1,8490
4246,45.0,15.0,1,8492
4247,45.0,15.0,1,8494
4248,45.0,15.0,1,8496
4249,45.0,15.0,1,8498
4250,45.0,15.0,1,8500
4251,45.0,15.0,1,8502
4252,45.0,15.0,1,8504
4253,45.0,15.0,1,8506
4254,45.0,15.0,1,8508
4255,45.0,15.0,1,8510
4256,45.0,15.0,1,8512
4257,45.0,15.0,1,8514
4258,45.0,15.0,1,8516
4259,45.0,15.0,1,8518
4260,45.0,15.0,1,8520
4261,45.0,15.0,1,8522
4262,45.0,15.0,1,8524
4263,45.0,15.0,1,8526
4264,45.0,15.0,1,8528
4265,45.0,15.0,1,8530
4266,45.0,15.0,1,8532
4267,45.0,15.0,1,8534
4268,45.0,15.0,1,8536
4269,45.0,15.0,1,8538
4270,45.0,15.0,1,8540
4271,45.0,15.0,1,8542
4272,45.0,15.0,1,8544
4273,45.0,15.0,1,8546
4274,45.0,15.0,1,8548
4275,45.0,15.0,1,8550
4276,45.0,15.0,1,8552
4277,45.0,15.0,1,8554
4278,45.0,15.0,1,8556
4279,45.0,15.0,1,8558
4280,45.0,15.0,1,8560
4281,45.0,15.0,1,8562
4282,45.0,15.0,1,8564
4283,45.0,15.0,1,8566
4284,45.0,15.0,1,8568
4285,45.0,15.0,1,8570
4286,45.0,15.0,1,8572
4287,45.0,15.0,1,8574
4288,45.0,15.0,1,8576
4289,45.0,15.0,1,8578
4290,45.0,15.0,1,8580
4291,45.0,15.0,1,8582
4292,45.0,15.0,1,8584
4293,45.0,15.0,1,8586
4294,45.0,15.0,1,8588
4295,45.0,15.0,1,8590
4296,45.0,15.0,1,8592
4297,45.0,15.0,1,8594
4298,45.0,15.0,1,8596
4299,45.0,15.0,1,8598
4300,45.0,15.0,1,8600
4301,45.0,15.0,1,8602
4302,45.0,15.0,1,8604
4303,45.0,15.0,1,8606
4304,45.0,15.0,1,8608
4305,45.0,15.0,1,8610
4306,45.0,15.0,1,8612
4307,45.0,15.0,1,8614
4308,45.0,15.0,1,8616
4309,45.0,15.0,1,8618
4310,45.0,15.0,1,8620
4311,45.0,15.0,1,8622
4312,45.0,15.0,1,8624
4313,45.0,15.0,1,8626
4314,45.0,15.0,1,8628
4315,45.0,15.0,1,8630
4316,45.0,15.0,1,8632
4317,45.0,15.0,1,8634
4318,45.0,15.0,1,8636
4319,45.0,15.0,1,8638
4320,45.0,15.0,1,8640
4321,45.0,15.0,1,8642
4322,45.0,15.0,1,8644
4323,45.0,15.0,1,8646
4324,45.0,15.0,1,8648
4325,45.0,15.0,1,8650
4326,45.0,15.0,1,8652
4327,45.0,15.0,1,8654
4328,45.0,15.0,1,8656
4329,45.0,15.0,1,8658
4330,45.0,15.0,1,8660
4331,45.0,15.0,1,8662
4332,45.0,15.0,1,8664
4333,45.0,15.0,1,8666
4334,45.0,15.0,1,8668
4335,45.0,15.0,1,8670
4336,45.0,15.0,1,8672
4337,45.0,15.0,1,8674
4338,45.0,15.0,1,8676
4339,45.0,15.0,1,8678
4340,45.0,15.0,1,8680
4341,45.0,15.0,1,8682
4342,45.0,15.0,1,8684
4343,45.0,15.0,1,8686
4344,45.0,15.0,1,8688
4345,45.0,15.0,1,8690
4346,45.0,15.0,1,8692
4347,45.0,15.0,1,8694
4348,45.0,15.0,1,8696
4349,45.0,15.0,1,8698
4350,45.0,15.0,1,8700
4351,45.0,15.0,1,8702
4352,45.0,15.0,1,8704
